日期,更新时间,星期,城市,天气,当日温度区间,当前温度,最高温度,最低温度,湿度,pm2.5,气象图标,风向,风力
2021-11-20,08:52:07,星期六,湖里,多云转晴,25℃/18℃,19℃,25,18,77%,15,http://api.k780.com/upload/weather/d/0.gif,北风,3级
2021-11-20,07:16:01,星期六,湖里,多云转晴,25℃/17℃,18℃,25,17,89%,14,http://api.k780.com/upload/weather/d/0.gif,北风,2级
2021-11-20,06:16:04,星期六,湖里,多云转晴,25℃/17℃,18℃,25,17,89%,14,http://api.k780.com/upload/weather/d/0.gif,北风,2级
2021-11-20,05:14:12,星期六,湖里,多云转晴,25℃/17℃,19℃,25,17,78%,11,http://api.k780.com/upload/weather/d/0.gif,北风,3级
2021-11-20,04:16:59,星期六,湖里,多云转晴,25℃/17℃,19℃,25,17,78%,11,http://api.k780.com/upload/weather/d/0.gif,北风,3级
2021-11-20,03:13:08,星期六,湖里,多云转晴,25℃/17℃,19℃,25,17,81%,10,http://api.k780.com/upload/weather/d/0.gif,北风,3级
2021-11-20,02:18:33,星期六,湖里,多云转晴,25℃/17℃,19℃,25,17,81%,10,http://api.k780.com/upload/weather/d/0.gif,北风,3级
2021-11-20,01:20:34,星期六,湖里,多云转晴,25℃/17℃,19℃,25,17,81%,9,http://api.k780.com/upload/weather/d/0.gif,东北风,2级
2021-11-20,00:24:24,星期六,湖里,多云转晴,25℃/17℃,19℃,25,17,82%,9,http://api.k780.com/upload/weather/d/0.gif,东北风,2级
2021-11-19,23:16:43,星期五,湖里,晴,17℃/17℃,19℃,17,17,81%,28,http://api.k780.com/upload/weather/d/0.gif,东北风,3级
2021-11-19,22:14:51,星期五,湖里,晴,17℃/17℃,19℃,17,17,82%,8,http://api.k780.com/upload/weather/d/0.gif,东北风,3级
2021-11-19,21:21:25,星期五,湖里,晴,17℃/17℃,19℃,17,17,81%,27,http://api.k780.com/upload/weather/d/0.gif,东风,2级
2021-11-19,20:25:19,星期五,湖里,晴,17℃/17℃,20℃,17,17,81%,7,http://api.k780.com/upload/weather/d/0.gif,东风,3级
2021-11-19,19:13:36,星期五,湖里,晴,17℃/17℃,20℃,17,17,81%,26,http://api.k780.com/upload/weather/d/0.gif,东风,2级
2021-11-19,18:17:46,星期五,湖里,多云转晴,26℃/18℃,21℃,26,18,75%,6,http://api.k780.com/upload/weather/d/0.gif,东风,3级
2021-11-19,17:16:09,星期五,湖里,多云转晴,26℃/18℃,21℃,26,18,72%,24,http://api.k780.com/upload/weather/d/1.gif,东风,3级
2021-11-19,16:19:01,星期五,湖里,多云转晴,26℃/18℃,22℃,26,18,63%,7,http://api.k780.com/upload/weather/d/1.gif,东风,3级
2021-11-19,15:15:57,星期五,湖里,多云转晴,26℃/18℃,23℃,26,18,59%,26,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-19,14:19:23,星期五,湖里,多云转晴,26℃/18℃,23℃,26,18,60%,8,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-19,12:20:50,星期五,湖里,多云转晴,26℃/18℃,23℃,26,18,59%,11,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-19,11:16:42,星期五,湖里,多云,25℃/17℃,22℃,25,17,64%,29,http://api.k780.com/upload/weather/d/1.gif,北风,3级
2021-11-19,10:36:13,星期五,湖里,多云,25℃/17℃,21℃,25,17,65%,12,http://api.k780.com/upload/weather/d/1.gif,北风,2级
2021-11-19,09:58:57,星期五,湖里,多云,25℃/17℃,19℃,25,17,79%,30,http://api.k780.com/upload/weather/d/0.gif,北风,1级
2021-11-19,08:53:07,星期五,湖里,多云,25℃/17℃,18℃,25,17,88%,16,http://api.k780.com/upload/weather/d/0.gif,东风,1级
2021-11-19,07:16:23,星期五,湖里,多云,24℃/17℃,17℃,24,17,93%,32,http://api.k780.com/upload/weather/d/0.gif,东北风,1级
2021-11-19,06:15:40,星期五,湖里,多云,24℃/17℃,17℃,24,17,94%,13,http://api.k780.com/upload/weather/d/0.gif,西北风,2级
2021-11-19,05:12:47,星期五,湖里,多云,24℃/17℃,18℃,24,17,88%,49,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-19,04:14:08,星期五,湖里,多云,24℃/17℃,18℃,24,17,86%,10,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-19,03:12:44,星期五,湖里,多云,24℃/17℃,18℃,24,17,84%,47,http://api.k780.com/upload/weather/d/1.gif,东风,1级
2021-11-19,02:19:02,星期五,湖里,多云,24℃/17℃,18℃,24,17,84%,9,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-19,01:19:16,星期五,湖里,多云,24℃/17℃,19℃,24,17,83%,7,http://api.k780.com/upload/weather/d/1.gif,北风,2级
2021-11-19,00:24:33,星期五,湖里,多云,24℃/17℃,19℃,24,17,83%,7,http://api.k780.com/upload/weather/d/0.gif,东北风,2级
2021-11-18,23:16:57,星期四,湖里,多云,17℃/17℃,19℃,17,17,83%,49,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-18,22:15:03,星期四,湖里,多云,17℃/17℃,19℃,17,17,82%,6,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,21:22:02,星期四,湖里,多云,17℃/17℃,19℃,17,17,84%,42,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-18,20:26:19,星期四,湖里,多云,17℃/17℃,19℃,17,17,84%,5,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-18,19:13:22,星期四,湖里,多云,17℃/17℃,19℃,17,17,82%,28,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-18,18:17:33,星期四,湖里,多云转晴,23℃/18℃,19℃,23,18,79%,4,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-18,17:16:07,星期四,湖里,多云转晴,23℃/18℃,20℃,23,18,73%,26,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,16:24:02,星期四,湖里,多云转晴,23℃/18℃,20℃,23,18,69%,4,http://api.k780.com/upload/weather/d/1.gif,北风,2级
2021-11-18,15:14:39,星期四,湖里,多云转晴,23℃/18℃,20℃,23,18,68%,27,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,14:19:11,星期四,湖里,多云转晴,23℃/18℃,21℃,23,18,67%,4,http://api.k780.com/upload/weather/d/1.gif,北风,2级
2021-11-18,13:14:20,星期四,湖里,多云转晴,23℃/18℃,20℃,23,18,74%,5,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,12:01:29,星期四,湖里,多云,22℃/17℃,20℃,22,17,80%,49,http://api.k780.com/upload/weather/d/1.gif,西南风,5级
2021-11-18,11:04:54,星期四,湖里,多云,22℃/17℃,19℃,22,17,81%,10,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,10:20:10,星期四,湖里,多云,22℃/17℃,19℃,22,17,81%,10,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,09:47:39,星期四,湖里,多云,22℃/17℃,19℃,22,17,86%,39,http://api.k780.com/upload/weather/d/1.gif,东南风,2级
2021-11-18,08:19:53,星期四,湖里,多云,22℃/17℃,18℃,22,17,85%,13,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-18,07:03:53,星期四,湖里,多云转晴,23℃/18℃,18℃,23,18,84%,11,http://api.k780.com/upload/weather/d/1.gif,西南风,2级
2021-11-18,06:04:22,星期四,湖里,多云,22℃/17℃,18℃,22,17,86%,47,http://api.k780.com/upload/weather/d/1.gif,南风,2级
2021-11-18,05:02:58,星期四,湖里,多云,22℃/17℃,18℃,22,17,88%,11,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-18,04:05:33,星期四,湖里,多云,22℃/17℃,19℃,22,17,88%,38,http://api.k780.com/upload/weather/d/1.gif,西风,1级
2021-11-18,03:03:42,星期四,湖里,多云,22℃/17℃,19℃,22,17,88%,12,http://api.k780.com/upload/weather/d/1.gif,南风,1级
2021-11-18,02:04:38,星期四,湖里,多云,22℃/17℃,19℃,22,17,80%,14,http://api.k780.com/upload/weather/d/1.gif,东风,1级
2021-11-18,01:09:41,星期四,湖里,多云,22℃/17℃,19℃,22,17,80%,14,http://api.k780.com/upload/weather/d/1.gif,东风,1级
2021-11-18,00:06:48,星期四,湖里,多云,22℃/17℃,19℃,22,17,83%,15,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-17,23:04:32,星期三,湖里,小雨,18℃/18℃,19℃,18,18,83%,15,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-17,22:03:59,星期三,湖里,小雨,18℃/18℃,19℃,18,18,82%,16,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,21:13:23,星期三,湖里,小雨,18℃/18℃,19℃,18,18,82%,16,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,20:07:56,星期三,湖里,小雨,18℃/18℃,20℃,18,18,78%,15,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,19:03:26,星期三,湖里,多云转小雨,23℃/19℃,20℃,23,19,78%,15,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,18:17:55,星期三,湖里,多云转小雨,23℃/19℃,20℃,23,19,78%,15,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
